layer_idx,best_loss,name
0,1.205800239963887e-07,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
0,5.759420673712157e-08,('mlp.gate_proj', 'mlp.up_proj')
0,5.936021737467784e-07,('mlp.down_proj',)
1,4.149059420272421e-07,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
1,8.017610077961133e-06,('mlp.gate_proj', 'mlp.up_proj')
1,5.1219070043701395e-05,('mlp.down_proj',)
2,9.43558720441965e-07,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
2,7.275915637504883e-07,('mlp.gate_proj', 'mlp.up_proj')
2,1.1623282961619015e-06,('mlp.down_proj',)
3,1.1070400852566728e-06,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
3,1.5740037689773509e-06,('mlp.gate_proj', 'mlp.up_proj')
3,1.5410160323461661e-06,('mlp.down_proj',)
4,1.5333536654137648e-06,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
4,2.989339051195062e-06,('mlp.gate_proj', 'mlp.up_proj')
4,3.798448373205387e-06,('mlp.down_proj',)
5,2.0559418212192562e-06,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
5,4.831355853149524e-06,('mlp.gate_proj', 'mlp.up_proj')
5,6.255832536575886e-06,('mlp.down_proj',)
6,3.4153559961571144e-06,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
6,7.5656141584309246e-06,('mlp.gate_proj', 'mlp.up_proj')
6,7.784583319265109e-06,('mlp.down_proj',)
7,9.484253286455687e-06,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
7,1.0437283736581986e-05,('mlp.gate_proj', 'mlp.up_proj')
7,9.132837518476522e-06,('mlp.down_proj',)
8,5.896718581565297e-06,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
8,1.2569300507983336e-05,('mlp.gate_proj', 'mlp.up_proj')
8,1.0502424377661485e-05,('mlp.down_proj',)
9,6.3323917297216565e-06,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
9,1.52822440633407e-05,('mlp.gate_proj', 'mlp.up_proj')
9,1.2061572991884672e-05,('mlp.down_proj',)
10,1.0799623739260893e-05,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
10,1.8735344593341535e-05,('mlp.gate_proj', 'mlp.up_proj')
10,1.5377140460679165e-05,('mlp.down_proj',)
11,1.5216643133988747e-05,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
11,2.420166005881933e-05,('mlp.gate_proj', 'mlp.up_proj')
11,1.9447974717387785e-05,('mlp.down_proj',)
12,2.2190895218115586e-05,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
12,2.7288396198015947e-05,('mlp.gate_proj', 'mlp.up_proj')
12,1.9291068355624494e-05,('mlp.down_proj',)
13,1.8463455713712252e-05,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
13,3.588234719175559e-05,('mlp.gate_proj', 'mlp.up_proj')
13,2.5851653817181405e-05,('mlp.down_proj',)
14,2.4788882225178755e-05,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
14,5.310190698275199e-05,('mlp.gate_proj', 'mlp.up_proj')
14,4.26695323907412e-05,('mlp.down_proj',)
15,4.013426816807343e-05,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
15,6.147399544715881e-05,('mlp.gate_proj', 'mlp.up_proj')
15,4.179481273660293e-05,('mlp.down_proj',)
16,3.1769024924590034e-05,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
16,9.72883990750863e-05,('mlp.gate_proj', 'mlp.up_proj')
16,6.431100460199209e-05,('mlp.down_proj',)
17,3.9203486476953214e-05,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
17,0.00011678499957689872,('mlp.gate_proj', 'mlp.up_proj')
17,9.14508906694559e-05,('mlp.down_proj',)
18,5.021132528781891e-05,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
18,0.00013794371714958778,('mlp.gate_proj', 'mlp.up_proj')
18,0.00017293342030965365,('mlp.down_proj',)
19,5.352221286067596e-05,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
19,0.00016504818430313698,('mlp.gate_proj', 'mlp.up_proj')
19,0.00026330922085505265,('mlp.down_proj',)
20,5.0381807467112174e-05,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
